,data_properties.twitter_followers,data_properties.facebook_followers,data_properties.instagram_followers,data_properties.ppp_country
1203,862844,1812557,708782,57467
1204,1040239,1531199,725068,57467
1205,1069553,1045745,332594,57467
1206,1686685,373331,707367,57467
1207,1138673,3315779,1229000,57467
1208,951909,3063824,336004,42609
1209,919430,1686330,287767,57467
1210,883805,1900198,1069740,57467
1211,945654,1298725,309183,42609
1212,381883,748728,281600,57467
1213,897317,2722734,793280,57467
1214,916925,1362334,226886,42609
1215,266463,317695,65436,42609
1216,1471013,2211181,913523,57467
1217,807188,2000739,626619,57467
1218,835473,1747784,925274,57467
1219,952355,1833328,527233,42609
1220,854201,845906,194833,42609
1221,1212856,1637417,777546,57467
1222,540673,805050,297441,57467
1223,1264233,1952066,621465,57467
1224,1256593,2182169,677567,57467
1225,445069,257131,0,42609
1226,408137,1007261,108954,42609
1227,1241545,1912011,548577,57467
1228,1158977,1556396,610705,57467
1229,839553,1670999,179866,42609
1230,815393,1569455,486220,57467
1231,368835,1060769,0,42609
1232,379233,403910,201504,42609
1233,1068908,1337537,637031,57467
1234,1056736,0,539635,57467
1235,1054619,1268466,699283,57467
1236,937239,716068,474620,57467
1237,1020204,1366495,419024,57467
1238,577229,7889353,298566,16136
1239,412614,819088,84576,42609
1240,280378,439875,68700,42609
1241,213788,277124,63844,42609
1242,254368,379898,50476,42609
1243,545317,1226630,518995,57467
1244,1000740,2231386,511777,57467
1245,557494,728436,228327,57467
1246,968343,887944,436370,57467
1247,572484,796802,79907,42609
1248,940098,1831050,574469,57467
1249,815422,960825,375496,57467
1250,930925,207298,167363,57467
1251,930925,207298,167373,57467
1252,328568,736089,420306,57467
1253,918161,1480502,591884,57467
1254,916051,6420923,643248,42609
1255,892730,1767296,841057,57467
1256,838620,843285,560567,42609
1257,15419,4685,2628,42609
1258,120388,132555,74418,42609
1259,224801,344083,62537,42609
1260,830252,1255445,332326,57467
1261,816076,1172584,361410,57467
1262,667070,937030,334099,57467
1263,190811,157683,22941,42609
1264,753528,803365,474814,57467
1265,738380,1198320,569553,57467
1266,89847,102111,31748,42609
1267,727014,99471,340491,57467
1268,704417,1075436,247869,42609
1269,94150,179901,20321,42609
1270,358797,364209,188776,42609
1271,680672,596132,255526,68883
1272,658483,598571,225255,57467
1273,7837,402343,147344,42609
1274,174955,218425,92559,42609
1275,636188,627508,380631,57467
1276,608876,1199277,270636,57467
1277,158338,121917,40747,42609
1278,408008,1083594,0,42609
1279,244729,8474,44647,42609
1280,554323,1079721,264045,57467
1281,549377,60504,0,57467
1282,1338,52,474386,57467
1283,542517,726998,229838,57467
